prod_sku,prod_Live_URL,prod_name,prod_long_desc,prod_type,prod_subcategory,prodmeta_section,prodmeta_ship_days,prodmeta_metal_weight,prodmeta_side_diamonds_count,prodmeta_side_diamonds_ctw,prodmeta_side_diamonds_color_clarity,prodmeta_side_diamonds1_count,attr_14k_regular,attr_14k_metal_available,attr_18k_regular,attr_18k_metal_available,attr_platinum_regular,attr_whitegold_platinum_round_default_img,attr_whitegold_platinum_round_img,attr_rosegold_round_default_img,attr_rosegold_round_img,attr_yellowgold_round_default_img,attr_yellowgold_round_img,attr_whitegold_yellow_round_default_img,attr_whitegold_yellow_round_img,attr_whitegold_rose_round_default_img,attr_whitegold_rose_round_img,attr_tricolor_round_default_img,attr_tricolor_round_img
1001,[prod_name}-[prod_sku],Square Framed Black Diamond Wedding Band,A beautiful Dora men's square framed black diamond wedding band with a center frame filled with black diamonds for a classic look.,Wedding Bands,"Black Diamond Men,White Gold Men,Men Wedding Band",Mens,3,,,,,13,2215,White Gold ,3150,White Gold ,,wedding-bands/127b01/shapes/round/127b01-whitegold_platinum_round_default.jpg,,,,,,,,,,,
1002,[prod_name}-[prod_sku],Engraved Diamond Wedding Band,This Dora men's engraved diamond wedding band features an ornate design with an intricate engraving and round diamond accents.,Wedding Bands,"Diamond Men,White Gold Men,Men Wedding Band",Mens,3,,24,0.24ct.,F/G - VS/SI1,,2765,White Gold ,3515,White Gold ,,wedding-bands/138a03/shapes/round/138a03-whitegold_platinum_round_default.jpg,,,,,,,,,,,
1003,[prod_name}-[prod_sku],Black Diamond Trim Wedding Band,A Dora men's black diamond trim wedding band with a brushed white gold finish and a black diamond trim in the center.,Wedding Bands,"Black Diamond Men,White Gold Men,Platinum Men,Men Wedding Band",Mens,4,,,,,65,1500,White Gold ,1990,White Gold ,2450,wedding-bands/178b01/shapes/round/178b01-whitegold_platinum_round_default.jpg,,,,,,,,,,,
1004,[prod_name}-[prod_sku],Diamond Wedding Band 1841G,Men's White Gold Diamond Wedding Band 1841G,Wedding Bands,"Diamond Men,White Gold Men,Yellow Gold Men,Rose Gold Men,Platinum Men,Men Wedding Band",Mens,5,9.3 Grams,5,0.35ct.,F/G - VS/SI1,,2480,"White Gold, Rose Gold, Yellow Gold",3265,"White Gold, Rose Gold, Yellow Gold",3975,wedding-bands/1841/shapes/round/1841-whitegold_platinum_round_default.jpg,,wedding-bands/1841/shapes/round/1841-rosegold_round_default.jpg,,wedding-bands/1841/shapes/round/1841-yellowgold_round_default.jpg,,,,,,,
1005,[prod_name}-[prod_sku],3 Row Black Diamond Wedding Band,A stunning Dora men's 3 row black diamond wedding band with rows of shared prong set black diamonds adorning the center for a stylish look that will turn heads.,Wedding Bands,"Black Diamond Men,White Gold Men,Men Wedding Band",Mens,6,,,,,108,3125,White Gold ,3890,White Gold ,,wedding-bands/210b01/shapes/round/210b01-whitegold_platinum_round_default.jpg,,,,,,,,,,,
1006,[prod_name}-[prod_sku],Men's Simple Domed Wedding Band,This Dora men's simple domed wedding band features chic polished tantalum that will never be out of style.,Wedding Bands,"Tantalum Men,White Gold Men,Men Wedding Band",Mens,7,,,,,,240,White Gold,,,,wedding-bands/292a25/shapes/round/292a25-whitegold_platinum_round_default.jpg,,,,,,,,,,,
1007,[prod_name}-[prod_sku],Diamond Wedding Band 4345W,White Gold Diamond Wedding Band 4345W,Wedding Bands,"Diamond Women,White Gold Women,Yellow Gold Women,Rose Gold Women,Platinum Women,Women Wedding Band",Womens,8,4.6 Grams,12,0.42ct.,F/G - VS/SI1,,2145,"White Gold, Rose Gold, Yellow Gold",2535,"White Gold, Rose Gold, Yellow Gold",2890,wedding-bands/4345/shapes/round/4345-whitegold_platinum_round_default.jpg,,wedding-bands/4345/shapes/round/4345-rosegold_round_default.jpg,,wedding-bands/4345/shapes/round/4345-yellowgold_round_default.jpg,,,,,,,
1008,[prod_name}-[prod_sku],Men's Trim Wedding Band,A Dora men's trim wedding band with brushed tantalum and a simple center trim.,Wedding Bands,"Tantalum Men,White Gold Men,Men Wedding Band",Mens,9,,,,,,325,White Gold,,,,wedding-bands/533a02/shapes/round/533a02-whitegold_platinum_round_default.jpg,,,,,,,,,,,
1009,[prod_name}-[prod_sku],Men's Rose Gold Criss Cross Wedding Band,A unique satin finished Dora men's rose gold criss cross wedding band featuring carbon fiber and a stunning criss cross design that will truly be a conversation starter.,Wedding Bands,"Carbon Fiber Men,Rose Gold Men,Men Wedding Band",Mens,10,,,,,,1140,Rose Gold,,,,,,wedding-bands/556b03/shapes/round/556b03-rosegold_round_default.jpg,,,,,,,,,
1010,[prod_name}-[prod_sku],Men's Polished Edge Wedding Band,"This stunning Dora men's polished edge wedding band features brushed tantalum with polished edges, a classic you can never go wrong with.",Wedding Bands,"Tantalum Men,White Gold Men,Men Wedding Band",Mens,11,,,,,,240,White Gold,,,,wedding-bands/574a12/shapes/round/574a12-whitegold_platinum_round_default.jpg,,,,,,,,,,,
1011,[prod_name}-[prod_sku],Offset Black Diamond Wedding Band,A classic Dora men's offset black diamond wedding band with a brushed white gold finish and a thin offset trim of black diamonds.,Wedding Bands,"Black Diamond Men,White Gold Men,Men Wedding Band",Mens,12,,,,,45,2325,White Gold ,3125,White Gold ,,wedding-bands/577a11/shapes/round/577a11-whitegold_platinum_round_default.jpg,,,,,,,,,,,
1012,[prod_name}-[prod_sku],Mens Black Wedding Band,A Dora mens black wedding band with warm yellow gold edges and brushed carbon fiber. A classic that will surely never go out of style.,Wedding Bands,"Carbon Fiber Men,Yellow Gold Men,Men Wedding Band",Mens,13,,,,,,725,Yellow Gold,,,,,,,,wedding-bands/586b00/shapes/round/586b00-yellowgold_round_default.jpg,,,,,,,
1013,[prod_name}-[prod_sku],Men's Beveled Edge Wedding Band,This classic yet sleek Dora men's beveled edge wedding band features a white gold band with carbon fiber accents. A perfect ring choice for minimalists.,Wedding Bands,"Carbon Fiber Men,White Gold Men,Men Wedding Band",Mens,14,,,,,,800,White Gold,,,,wedding-bands/588b00/shapes/round/588b00-whitegold_platinum_round_default.jpg,,,,,,,,,,,
1014,[prod_name}-[prod_sku],Men's Modern Wedding Band,A modern yet timeless Dora men's wedding band featuring white gold and a carbon fiber trim that you can never go wrong with.,Wedding Bands,"Carbon Fiber Men,White Gold Men,Men Wedding Band",Mens,15,,,,,,950,White Gold,,,,wedding-bands/589b00/shapes/round/589b00-whitegold_platinum_round_default.jpg,,,,,,,,,,,
